delta_US,delta_EU,delta_CN,delta_RoW,cost_US,cost_EU,cost_CN,cost_RoW,pressure_US,pressure_EU,pressure_CN,pressure_RoW,lam_US,lam_EU,lam_CN,lam_RoW,theta,gamma,eta,kappa,success_rate,mean_W,mean_coord_time,fm_US,fm_EU,fm_CN,fm_RoW
0.8752933511807217,0.797598745557298,0.8318522664774275,0.6344163150333278,1.272098051894455,0.9669546284900087,0.9728921049658461,0.8456256773120407,1.6865651187213757,2.9347470437098315,0.7439665533220331,2.646494637307412,0.1648261741207192,1.0317523122915544,4.417417942507327,4.5998190693154966,0.7070309210595739,0.17555760816577673,17.96752748998039,0.16380074398681913,1.0,0.9985927356219758,1.86,0.32,0.46,0.995,0.0
0.6735912697116404,0.8315919362072732,0.7153964149250708,0.6844584163608186,1.3082570361626007,0.7541252802391092,1.444822553369101,0.5165331379964753,0.7760563094647146,0.3060748098877627,2.904677659547265,1.7077604209367858,4.049824754086812,4.053010294802249,3.3563262605377853,4.063531294261815,0.721630894719939,0.21366845533269618,19.11515923516123,0.08294630054291151,0.91,0.9746692411955661,3.3736263736263736,0.0,0.78,0.0,0.99
0.7168796055472542,0.8601144063479049,0.7398243009775429,0.7332873780173881,1.5571481729575054,0.6415402064424527,0.6576422997012331,0.8334155342256688,0.28867154791041,0.5447869867945753,1.1184687835052076,2.0717100542652505,3.9038474726034686,3.2565290945242062,3.290055195213089,3.9718743587381913,0.7031247061139829,0.31153747673807897,20.165126802650747,0.041109456008801504,1.0,0.7213616531512278,2.03,0.0,1.0,0.0,0.0
0.799167226274341,0.8192579764729061,0.7725317240157576,0.6628490304437921,0.9060164160221893,1.2778065340247338,0.7945810882819044,0.6908140560807485,1.670565544792902,2.430794886919202,2.5537879748291115,0.8676183114486795,1.9772113032125278,1.3330490231663514,0.13311194542171356,1.6263288760840815,0.6857326847312368,0.4054230416144964,11.171584771708913,0.19970585016226164,1.0,1.0,2.58,0.51,0.18,0.385,0.0
0.6696678476397686,0.7501790086289607,0.8358634642792523,0.6055654591740378,0.6094059736992689,1.5346044740838192,1.4890480878575754,0.7714955050886045,1.4888498113023014,0.7642746621404028,2.0725800065684314,2.9841860124260893,0.48200111079669494,0.1390398703037357,0.22497268359190387,3.3312751609444295,0.7115202898982105,0.44089391090668795,20.70879232302468,0.044820945117601894,1.0,0.9981691425207251,3.145,0.295,0.225,0.325,0.0
0.8748782716965483,0.8838333831502589,0.766468181730297,0.6984607436213269,1.0885803450479563,1.0806735814939323,0.6048166949726891,1.4547561637557913,0.46227642836022764,2.6091308728165896,0.3213677002144833,2.2951750823147155,4.421125446093708,4.569902599542686,3.157106302998493,0.7610499902627232,0.7508588263822592,0.2068158639485262,21.984469406856682,0.026714474605262592,1.0,0.9188546172654862,2.0,0.02,0.05,0.005,0.0
0.7852127716219713,0.793333035988637,0.7344013759724257,0.5712324605780587,0.5791148547133731,1.3081710526348953,1.1011042297129885,0.8527999765025845,2.2967458158424727,0.9074984959594493,1.7805255773192683,1.9170145582300089,0.7211545053886202,4.656373485549948,1.7406558690984144,0.5725146235209184,0.6615024988919147,0.3081956695623522,18.04374996676384,0.10021012831920924,1.0,0.9834397178092829,2.295,0.775,0.005,0.02,0.005
0.6858729188279014,0.8573834313801617,0.8333780023984143,0.6695997315007147,0.8216149097107505,1.2574400859628918,0.6519237256244158,0.5074247362243257,1.3775450549177426,2.8283187006457635,0.8912639825730075,0.7947055185530093,1.054761826174242,4.234525382675114,2.6927265744034727,4.3649796758156905,0.8444660803901765,0.25698540889179733,18.715513981694983,0.16139596879923862,1.0,1.0,2.12,0.15,0.0,1.0,0.0
0.8500189890977622,0.8337104818266711,0.8448237143059601,0.6777323813963653,0.8257853142077449,1.4035299350193324,0.7324720085392342,0.4683777234014933,1.5076852549504525,1.8044397320042669,0.7765655116800199,2.6166630410667704,1.8684562074852047,1.6285967133136132,4.645643669078269,1.0468563693819204,0.6683917806412926,0.2139661298774883,19.978135861496526,0.1511949033446835,1.0,1.0,1.23,0.96,0.13,1.0,0.785
0.8486770538591031,0.8118370269685626,0.8261668998748272,0.6504507028861295,0.7058232734984382,0.5883529607618336,1.524206134496929,1.1835144335017111,1.3285199971949837,0.5070906030452564,2.375204773966992,0.8575628331635369,3.0542772342248417,2.823807808107781,4.6448204210355915,4.454457551432988,0.911871908979843,0.30365761807200087,17.61143136270311,0.04568054764201323,1.0,1.0,3.015,0.995,0.1,0.0,0.0
