counterfactual,lam_US,lam_CN,fm_CN,fm_US,success_rate
CF1: Baseline,2.8566050567898236,2.891768619941544,0.045,0.14,0.645
CF1: Baseline,2.9085010582852524,1.6562073476487866,0.085,0.105,0.645
CF1: Baseline,1.0268194418332282,1.8445579725073653,0.07,0.225,0.74
CF1: Baseline,1.3291069708594159,1.708880730563466,0.05,0.185,0.725
CF1: Baseline,1.9908982392183223,2.3167009249373285,0.075,0.16,0.73
CF1: Baseline,1.9801886170135283,1.290303680018452,0.115,0.105,0.72
CF1: Baseline,2.988578468173677,1.3931553436486415,0.185,0.04,0.645
CF1: Baseline,2.9692937680637272,1.10414324674114,0.12,0.06,0.7
CF1: Baseline,1.0873592167726618,2.5158255419932383,0.015,0.195,0.735
CF1: Baseline,1.2843189935098884,0.548474487568597,0.215,0.125,0.855
CF1: Baseline,1.473699344661918,2.942863556512097,0.04,0.235,0.7
CF1: Baseline,0.5876340412581642,1.4074164853369138,0.065,0.27,0.82
CF1: Baseline,1.806634314308621,2.0626209049139317,0.095,0.125,0.67
CF1: Baseline,1.164020266880575,2.394684681304604,0.01,0.265,0.735
CF1: Baseline,2.18644459376993,2.733406065624472,0.045,0.16,0.695
CF1: Baseline,2.9114547258429444,1.5684728746633176,0.11,0.085,0.675
CF1: Baseline,0.7973985517048985,0.9452656922108617,0.11,0.22,0.83
CF1: Baseline,2.285220071761569,1.6253135983881992,0.105,0.11,0.675
CF1: Baseline,1.8580538207197281,2.988270272400185,0.02,0.165,0.61
CF1: Baseline,2.422575454553712,1.1864195667076989,0.18,0.105,0.7
CF1: Baseline,2.948840773703496,1.2933124259549664,0.175,0.07,0.725
CF1: Baseline,2.3981533309678427,1.4175686416666067,0.14,0.11,0.705
CF1: Baseline,2.3168709414467807,1.6811554760208511,0.095,0.095,0.705
CF1: Baseline,1.6935252186788459,1.4283868277334182,0.09,0.175,0.745
CF1: Baseline,1.805968289746705,2.9406791306453015,0.035,0.21,0.73
CF1: Baseline,0.9490605030200301,2.6786314884612836,0.005,0.23,0.765
CF1: Baseline,0.53307457863302,0.9753838328018134,0.095,0.245,0.845
CF1: Baseline,2.7027642563812893,2.7958260557732126,0.03,0.125,0.69
CF1: Baseline,1.3361790707779206,1.0396972011841195,0.14,0.2,0.795
CF1: Baseline,2.2799156232107842,2.497232555372488,0.065,0.1,0.65
CF1: Baseline,0.7564268446917437,1.8598656034545544,0.035,0.22,0.76
CF1: Baseline,0.9424551865633839,1.9615045256610713,0.04,0.215,0.74
CF1: Baseline,2.392202158672084,1.2377610004981439,0.12,0.075,0.705
CF1: Baseline,2.676713652852293,0.74277737082599,0.235,0.05,0.66
CF1: Baseline,0.9782330086042861,0.5509770998979662,0.18,0.135,0.835
CF1: Baseline,2.91334332686115,1.825236746306169,0.145,0.075,0.68
CF1: Baseline,2.5152167112687818,2.516841987144004,0.04,0.165,0.64
CF1: Baseline,2.161390949253972,2.52220984401113,0.055,0.135,0.68
CF1: Baseline,1.4502413649995234,1.3119175380906871,0.08,0.2,0.77
CF1: Baseline,2.4848498634216485,1.3742541742071042,0.125,0.09,0.695
CF1: Baseline,1.2269522342092842,2.3352401057984142,0.015,0.205,0.71
CF1: Baseline,1.2478037622192861,2.4922541088846524,0.02,0.24,0.74
CF1: Baseline,2.9107253603281356,1.0032087634217763,0.2,0.065,0.71
CF1: Baseline,1.0367547910442356,1.40294902963681,0.08,0.2,0.78
CF1: Baseline,0.5351559526458273,0.7679881698132502,0.1,0.215,0.83
CF1: Baseline,1.289517075913825,2.1561000493320455,0.045,0.205,0.745
CF1: Baseline,2.440738506430341,2.1104740278184724,0.075,0.13,0.65
CF1: Baseline,2.1275791812311677,2.4754461013970364,0.04,0.185,0.69
CF1: Baseline,1.305661766515492,2.010981976700564,0.04,0.14,0.71
CF1: Baseline,2.672344071901919,0.793186889011132,0.215,0.065,0.705
CF1: Baseline,2.121382894286315,1.6542996078817676,0.09,0.1,0.655
CF1: Baseline,1.656646550196971,1.726619896128174,0.065,0.135,0.68
CF1: Baseline,1.5542008667128941,2.3287636125515285,0.05,0.24,0.775
CF1: Baseline,1.322043933920634,1.1058626168348926,0.155,0.145,0.8
CF1: Baseline,1.7914232225390019,2.4825408062901837,0.035,0.145,0.69
CF1: Baseline,2.5943527043901016,1.0614711922260724,0.135,0.11,0.68
CF1: Baseline,1.4577608689859836,1.129106644472628,0.085,0.125,0.725
CF1: Baseline,0.5168938497049559,1.278739222491878,0.08,0.27,0.79
CF1: Baseline,1.1697865994627874,2.68159315438926,0.015,0.23,0.725
CF1: Baseline,1.0663544235194486,2.9959145855869673,0.01,0.205,0.725
CF1: Baseline,0.7137809526061805,0.5029834771493442,0.185,0.26,0.88
CF1: Baseline,2.4482933034906535,1.1039723823264973,0.165,0.09,0.725
CF1: Baseline,0.93626244520681,2.863759321007956,0.025,0.22,0.77
CF1: Baseline,2.7688501830366152,1.2739489689345926,0.17,0.105,0.745
CF1: Baseline,1.6262271011839102,0.967522420127639,0.175,0.145,0.765
CF1: Baseline,2.1568909150622106,2.985623647660081,0.015,0.115,0.685
CF1: Baseline,0.6948985259166811,0.5199183011753754,0.185,0.26,0.88
CF1: Baseline,0.5637615732611754,2.148609775992056,0.015,0.255,0.715
CF1: Baseline,1.3712522648297696,2.9349565064763428,0.015,0.19,0.655
CF1: Baseline,2.7694272005401213,0.8447353488555818,0.22,0.06,0.705
CF1: Baseline,2.944329040179873,2.730556385837648,0.055,0.085,0.635
CF1: Baseline,1.580852271628712,2.1137037350144228,0.045,0.175,0.69
CF1: Baseline,1.934542385516575,1.918069961445692,0.07,0.15,0.66
CF1: Baseline,0.9267014478597688,2.697408674491231,0.025,0.23,0.73
CF1: Baseline,0.6929785712365706,2.6446644298332633,0.02,0.195,0.69
CF1: Baseline,0.5648797274677121,2.3592500748315595,0.015,0.27,0.8
CF1: Baseline,2.7046558398437286,2.7805625507870846,0.05,0.135,0.595
CF1: Baseline,2.0597481137747415,0.8372704031952669,0.175,0.09,0.695
CF1: Baseline,1.6785845811113997,1.2629704567751872,0.11,0.17,0.74
CF1: Baseline,2.9972266797958365,0.5932565917397582,0.295,0.065,0.805
CF1: Baseline,1.969704039369254,1.2222172664772841,0.19,0.115,0.73
CF1: Baseline,1.1800171996553204,0.7307876149788981,0.175,0.175,0.77
CF1: Baseline,0.8731559473195273,2.392023026322698,0.015,0.225,0.74
CF1: Baseline,1.9606338119020592,1.4433332843803843,0.105,0.14,0.675
CF1: Baseline,2.3606780144022483,1.0977259054176811,0.145,0.11,0.735
CF1: Baseline,1.891386888472062,2.0154677802090992,0.04,0.145,0.71
CF1: Baseline,0.8169155639737858,2.824680349770382,0.02,0.21,0.735
CF1: Baseline,1.3370693209685787,0.741078889551489,0.185,0.15,0.815
CF1: Baseline,0.9804882725930837,1.9871119254453733,0.04,0.2,0.735
CF1: Baseline,2.293526779779257,1.614029559989017,0.09,0.105,0.72
CF1: Baseline,0.8899230307380577,2.289723856336028,0.02,0.2,0.795
CF1: Baseline,2.4172250299801794,1.7999970815295074,0.085,0.115,0.7
CF1: Baseline,1.3783643952307298,2.286333512422691,0.02,0.195,0.705
CF1: Baseline,1.0248410950508662,0.7238015338006785,0.21,0.19,0.85
CF1: Baseline,1.5250409590161298,2.8439260914961486,0.025,0.17,0.7
CF1: Baseline,1.0829672568845523,0.9951868350481903,0.13,0.195,0.765
CF1: Baseline,0.9871233807011438,2.60945172585465,0.01,0.235,0.76
CF1: Baseline,1.822819680818098,2.6760100386814747,0.025,0.17,0.675
CF1: Baseline,2.409891253048253,1.6213243492271239,0.105,0.11,0.74
CF1: Baseline,2.4134846395883898,2.4638328999894252,0.04,0.135,0.64
CF1: Baseline,2.6741194467148066,1.8951746971111836,0.085,0.12,0.72
CF1: Baseline,2.5602964288245014,1.8883954499604916,0.075,0.13,0.695
CF1: Baseline,1.3870527379328017,2.5906873646236086,0.01,0.155,0.665
CF1: Baseline,1.1926500177900712,0.6424535904197777,0.195,0.145,0.815
CF1: Baseline,1.6433502317731388,1.9131270290947882,0.05,0.145,0.63
CF1: Baseline,0.978695919709109,2.6515118555152455,0.01,0.19,0.705
CF1: Baseline,1.4022735752475533,1.2798962823028637,0.09,0.185,0.745
CF1: Baseline,2.8192059536113616,0.9830899843785308,0.145,0.06,0.73
CF1: Baseline,1.0343107862600982,1.3140437848392021,0.115,0.215,0.79
CF1: Baseline,2.6389528324100935,2.322151435342826,0.115,0.145,0.695
CF1: Baseline,2.6595331941206855,1.5306171161427111,0.175,0.075,0.695
CF1: Baseline,2.32708624843534,1.5918554661535813,0.085,0.1,0.68
CF1: Baseline,1.1371318197884126,0.8924020015871532,0.155,0.175,0.805
CF1: Baseline,2.8420961135352685,2.132321736461898,0.11,0.05,0.655
CF1: Baseline,1.4804727247227123,0.7337187300411423,0.15,0.155,0.795
CF1: Baseline,2.4320043399699927,1.0523298483304881,0.18,0.095,0.72
CF1: Baseline,2.0072843031759398,1.88969786127948,0.08,0.13,0.7
CF1: Baseline,2.8187859290997914,2.721662016037239,0.045,0.11,0.655
CF1: Baseline,2.9364992889050234,1.9546972719428637,0.095,0.095,0.635
CF1: Baseline,2.2163270290541273,0.8566742728057393,0.195,0.11,0.72
CF1: Baseline,2.1964089392948996,2.719558758375906,0.035,0.14,0.63
CF1: Baseline,0.5458560705218005,2.1974211016384007,0.015,0.23,0.79
CF1: Baseline,2.0395090308053074,2.7129833307474973,0.02,0.205,0.735
CF1: Baseline,2.627986239814965,1.7865394332794096,0.14,0.1,0.675
CF1: Baseline,1.3987264491622877,1.9233577005738356,0.06,0.16,0.71
CF1: Baseline,2.3275282643701916,1.84272560248175,0.08,0.125,0.675
CF1: Baseline,2.6031688576591616,1.413428082158628,0.145,0.125,0.695
CF1: Baseline,2.4473765950898727,1.6704535505368718,0.14,0.15,0.735
CF1: Baseline,1.3937409739096585,1.8324438865797417,0.04,0.145,0.725
CF1: Baseline,2.60118678743718,2.3840784845111767,0.02,0.125,0.62
CF1: Baseline,1.8536752715253455,2.0752912541146684,0.07,0.13,0.68
CF1: Baseline,0.6918078051026926,2.5484899734391546,0.02,0.21,0.745
CF1: Baseline,2.9128449420753864,2.6446261100780597,0.07,0.1,0.625
CF1: Baseline,2.7356611098775803,1.0669233676643972,0.185,0.105,0.675
CF1: Baseline,1.8014782264703637,1.9986376171413405,0.07,0.2,0.755
CF1: Baseline,2.4276796888160495,2.9580061949162273,0.03,0.125,0.645
CF1: Baseline,1.912292522016227,1.1689248318687688,0.155,0.18,0.72
CF1: Baseline,2.9061356087635453,1.2563811584516955,0.18,0.055,0.68
CF1: Baseline,2.038942782173002,2.131657612078647,0.045,0.11,0.63
CF1: Baseline,0.8058993436013115,2.927913326904073,0.005,0.23,0.765
CF1: Baseline,1.4770577006379768,1.6219930895616113,0.065,0.215,0.75
CF1: Baseline,0.7066693624143425,0.6326148443914882,0.16,0.185,0.82
CF1: Baseline,1.4350283905577164,2.888550378046175,0.025,0.15,0.66
CF1: Baseline,2.873872247013365,1.5573461884159376,0.11,0.105,0.68
CF1: Baseline,2.777401014953209,2.040348668223296,0.065,0.11,0.71
CF1: Baseline,2.1247595226570155,1.3903035180007854,0.095,0.135,0.73
CF1: Baseline,2.8023282314993883,0.9227805305839288,0.2,0.06,0.685
CF1: Baseline,1.0567510078934017,1.5979822248610291,0.055,0.24,0.755
CF1: Baseline,1.009384766241114,1.5248491818787735,0.095,0.19,0.745
CF1: Baseline,0.8116437588444765,1.0009518196584581,0.055,0.28,0.815
CF1: Baseline,1.6496026466229792,1.5370243433880892,0.075,0.17,0.725
CF1: Baseline,1.8981501596777777,2.4669669753960655,0.04,0.2,0.66
CF1: Baseline,1.5651892146517534,2.7273339627114948,0.03,0.15,0.715
CF1: Baseline,1.2830510443703802,2.2917032065336813,0.04,0.19,0.73
CF1: Baseline,1.3339567057919528,1.9702793321190766,0.055,0.215,0.71
CF1: Baseline,1.4215531983734588,2.997553537115888,0.005,0.215,0.735
CF1: Baseline,0.5883718361834984,1.452430399724706,0.055,0.295,0.82
CF1: Baseline,1.5831903984754017,2.2357804026657857,0.06,0.19,0.705
CF1: Baseline,2.690778746986424,2.9360021430578316,0.035,0.12,0.655
CF1: Baseline,1.899771563950456,1.7288583415270695,0.085,0.115,0.675
CF1: Baseline,2.786323457507076,2.150294671714906,0.08,0.09,0.65
CF1: Baseline,1.1137072151152847,2.875115250966733,0.015,0.165,0.745
CF1: Baseline,1.4407569738831978,1.5391981813872107,0.065,0.21,0.74
CF1: Baseline,2.552440400181375,0.73865791766591,0.21,0.08,0.75
CF1: Baseline,2.991190042119697,2.095757241706308,0.1,0.14,0.635
CF1: Baseline,2.2885757427760796,2.452526279825135,0.055,0.125,0.645
CF1: Baseline,1.9688825848216611,2.539074218969935,0.01,0.155,0.67
CF1: Baseline,2.7406140286853558,2.7020889386278624,0.065,0.075,0.655
CF1: Baseline,2.1452675806488015,0.6963251883748116,0.195,0.1,0.77
CF1: Baseline,1.6315879123305448,1.574603162084304,0.085,0.145,0.755
CF1: Baseline,1.3785292098175532,2.2960990903811354,0.04,0.165,0.73
CF1: Baseline,1.2264859130592902,1.932611930901644,0.07,0.18,0.765
CF1: Baseline,2.7136925934880196,2.0008177299966787,0.075,0.11,0.595
CF1: Baseline,2.4246742216886554,1.6354718514088287,0.09,0.08,0.69
CF1: Baseline,0.873107120466565,2.29151207339067,0.035,0.185,0.74
CF1: Baseline,2.47499421349155,2.7954864729018456,0.04,0.155,0.65
CF1: Baseline,1.9358658122488963,1.4908568248282514,0.095,0.135,0.74
CF1: Baseline,2.735226361271207,2.7282323378008204,0.05,0.11,0.655
CF1: Baseline,1.262458119709171,2.623511431926409,0.02,0.18,0.705
CF1: Baseline,0.9533410847637818,1.9908320911349617,0.035,0.16,0.74
CF1: Baseline,0.9334419825285268,1.1979827134693137,0.09,0.185,0.79
CF1: Baseline,0.956746476936307,1.9124737771154938,0.06,0.21,0.755
CF1: Baseline,1.971162272582298,2.9492441355759165,0.025,0.16,0.635
CF1: Baseline,1.0129888344215006,2.260884550205388,0.03,0.21,0.745
CF1: Baseline,2.574399485387536,2.678583797385359,0.035,0.12,0.66
CF1: Baseline,0.6171863045628754,0.9911780999486006,0.12,0.175,0.795
CF1: Baseline,1.3454390505599298,1.8612122931030581,0.075,0.145,0.75
CF1: Baseline,1.460378888051158,2.9033441557185693,0.005,0.175,0.675
CF1: Baseline,2.203813126161493,1.1751321173328142,0.11,0.08,0.655
CF1: Baseline,2.954076333257635,2.5405719151824644,0.045,0.065,0.64
CF1: Baseline,2.4520197340907117,1.394176296902465,0.145,0.095,0.695
