vary_bloc,lam_value,cost_mult,success_rate,mean_coord_time,fm_US,fm_CN
US,3.6800324174766246,1.2396485605728995,0.47333333333333333,3.295774647887324,0.006666666666666667,0.37333333333333335
US,1.4305448651083186,1.563011652817269,0.05333333333333334,3.625,0.02,0.0
US,3.2256281638802813,1.260268226990795,0.3933333333333333,3.5762711864406778,0.0,0.16
US,2.0727652575032605,0.726689874214191,0.9866666666666667,3.4662162162162162,0.18666666666666668,0.14666666666666667
US,0.8373683675372475,1.4831228758526103,0.31333333333333335,4.382978723404255,0.08,0.0
US,2.0952170144176385,0.6428360377542764,0.98,3.6598639455782314,0.22666666666666666,0.16
US,1.5708481845272837,1.0950634827302754,0.7466666666666667,3.9017857142857144,0.04666666666666667,0.14
US,1.118704740287311,1.4279371409108506,0.22,4.121212121212121,0.05333333333333334,0.0
US,3.1548183544232353,1.2633555471411242,0.22,3.5757575757575757,0.0,0.13333333333333333
US,2.012325639212863,1.152770608842932,0.6733333333333333,4.01980198019802,0.02666666666666667,0.16
US,2.5443428911945745,1.1798159218657842,0.5333333333333333,3.8125,0.013333333333333334,0.16666666666666666
US,0.7955551239896118,0.8989688826047317,0.8333333333333334,4.136,0.22,0.07333333333333333
US,0.6456496085166237,0.9927889830934228,0.76,3.780701754385965,0.24,0.02666666666666667
US,1.6545142431647486,0.5734290266392563,0.9866666666666667,3.5405405405405403,0.29333333333333333,0.13333333333333333
US,0.8619103870289307,1.1051734866132545,0.68,4.313725490196078,0.19333333333333333,0.04
US,1.0970753898791012,1.5101441420521566,0.11333333333333333,4.0,0.02666666666666667,0.006666666666666667
US,2.5337139889513822,0.8162437654418045,0.9333333333333333,3.664285714285714,0.12666666666666668,0.2
US,2.568204220184959,0.427364645235637,0.9933333333333333,3.1812080536912752,0.43333333333333335,0.17333333333333334
US,3.8549572463450588,0.9787641243314804,0.9533333333333334,3.4335664335664338,0.02,0.4066666666666667
US,3.239573295376002,0.49927599990692634,0.9866666666666667,3.0135135135135136,0.34,0.2
US,2.2033041579335615,0.9888483932254252,0.8266666666666667,3.7338709677419355,0.04666666666666667,0.17333333333333334
US,3.7823925924124397,1.0860736628512906,0.8866666666666667,3.8646616541353382,0.006666666666666667,0.18
US,2.1572129036993384,0.7203707957102723,0.9733333333333334,3.8972602739726026,0.18666666666666668,0.18666666666666668
US,1.6604914906989325,1.0248068829658454,0.7,4.076190476190476,0.08,0.08666666666666667
US,2.0361901110676635,0.42593449585639653,0.9866666666666667,3.141891891891892,0.3933333333333333,0.16666666666666666
US,3.3920217346802524,1.4753929262077201,0.0,,0.0,0.0
US,0.9908718114951377,1.0648433722468593,0.7066666666666667,4.2075471698113205,0.18,0.04
US,0.8800150939740524,1.2066881116477741,0.6066666666666667,4.252747252747253,0.20666666666666667,0.02
US,1.4843182434365292,1.1913071616302822,0.4666666666666667,3.9571428571428573,0.04666666666666667,0.05333333333333334
US,3.0444811500040894,1.3223769903011886,0.02,4.0,0.0,0.0
US,0.877093310845638,1.49921421416513,0.3333333333333333,4.42,0.08,0.0
US,1.3057489681320829,0.44489506741141577,0.9866666666666667,3.4932432432432434,0.4,0.07333333333333333
US,2.4419836428701918,0.8451067406349266,0.96,3.548611111111111,0.08666666666666667,0.14666666666666667
US,3.404264100963446,1.3699017664771622,0.0,,0.0,0.0
US,1.6099861248795038,1.543479274083694,0.02666666666666667,5.5,0.0,0.0
US,1.5182124334904152,1.0180685550780577,0.7866666666666666,3.957627118644068,0.16,0.10666666666666667
US,1.3958778169866095,1.5232522840587563,0.02666666666666667,4.75,0.0,0.0
US,1.0761273615370635,0.4538927432707948,0.98,3.258503401360544,0.38,0.12666666666666668
US,2.022839710010633,1.5908506768670048,0.013333333333333334,3.5,0.006666666666666667,0.0
US,3.620870431892199,1.2983296233483392,0.04666666666666667,4.0,0.0,0.0
US,3.617773718074837,1.4721359676374361,0.0,,0.0,0.0
US,2.316004261352572,0.7791148621969517,0.96,3.7847222222222223,0.09333333333333334,0.17333333333333334
US,3.202043512388458,1.1939935158013135,0.6733333333333333,3.594059405940594,0.0,0.32666666666666666
US,1.8078020510579853,0.5133600016738183,0.9933333333333333,3.557046979865772,0.22666666666666666,0.10666666666666667
US,3.113763639721591,0.7149526191074377,0.98,3.5170068027210886,0.12,0.16666666666666666
US,3.7788460268682273,0.6891646900068218,0.9733333333333334,3.547945205479452,0.11333333333333333,0.18
US,0.9296527634402011,1.3973352065498874,0.31333333333333335,4.446808510638298,0.09333333333333334,0.02
US,1.0364951081857292,0.6151219697892869,0.94,3.8226950354609928,0.2,0.08
US,2.597839770322952,1.4494744490049576,0.0,,0.0,0.0
US,1.1875213300010063,0.7723884074801137,0.92,4.0144927536231885,0.22666666666666666,0.08
US,3.2209169338441215,1.5661917112731611,0.0,,0.0,0.0
US,2.252594151708198,0.5726770030615009,0.98,3.183673469387755,0.23333333333333334,0.15333333333333332
US,0.5487770069787055,0.6755872359986264,0.9333333333333333,4.007142857142857,0.3,0.02
US,0.9613777622528237,1.213190408335429,0.6133333333333333,4.195652173913044,0.12,0.04666666666666667
US,0.9264137661998589,1.0075959179447596,0.76,3.9473684210526314,0.20666666666666667,0.04
US,2.9299185247501027,1.097339931065083,0.82,3.7804878048780486,0.006666666666666667,0.20666666666666667
US,1.1992147808102016,1.3649494314187154,0.25333333333333335,4.105263157894737,0.04,0.006666666666666667
US,3.003924953655306,1.2867808046986502,0.08666666666666667,3.923076923076923,0.0,0.013333333333333334
