Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Africa Eastern and Southern,AFE,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.84668844106995,0.827752348268911,0.836864285272852,0.792751790298375,0.77241785944863,0.731119611152851,0.734804410289033,0.734146833067301,0.731793515762225,0.696416017506055,0.685072459226941,0.677039693593167,0.667476811335849,0.663184403387861,0.63996956343081,0.628888574867489,0.593524743392762,0.5828769906402,0.58045656008473,..
Africa Eastern and Southern,AFE,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,1150.2135,1206.5406,1261.9958,1242.2396,1280.3281,1278.4914,1324.4422,1361.2899,1396.8537,1396.4417,1415.4722,1437.2969,1457.6726,1491.9557,1474.7119,1490.5839,1497.7963,1518.6354,1548.7374,..
Africa Eastern and Southern,AFE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,10.263076702081,11.1719463183513,12.3951575283608,12.6634182446055,11.5097433507165,10.3947360711001,11.1428276413639,11.4902471456998,12.2765768281439,13.0150928784089,12.8864676029798,12.4624744974616,11.9917475435429,12.9537634387917,14.7341526462305,13.7287411103208,14.1855226450872,15.3330728318336,15.2652577337707,..
Africa Eastern and Southern,AFE,Trade (% of GDP),NE.TRD.GNFS.ZS,59.2211968534177,64.926552245923,72.1139529810406,60.8267897293719,61.1440016011495,63.0683921534385,61.0262151920067,61.4749476479476,59.8998848247145,54.919335043677,52.9532018565789,51.8332071754235,55.0220378948386,53.528129184284,49.5217047765169,54.5012645153596,57.1527762711517,56.1705277452305,54.422178323254,..
Africa Eastern and Southern,AFE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,48.6386545878544,50.7788482410199,51.9583084650662,51.7665453236683,49.888658935811,49.8452112061088,47.9888148562131,47.7908244853555,48.4840013025553,47.3248811399745,47.2042765305367,46.7516150167449,45.8562097907504,46.2219929707477,43.2322046479544,43.4855157544601,42.993108618321,19.77,..,..
Africa Eastern and Southern,AFE,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.5502424429372,42.7044180630014,42.8201844894065,43.0857337625694,43.3020925824111,43.562526357228,45.7787042671742,45.8810527809186,45.9780444690021,46.0506179101141,46.1616694417186,46.2460594392602,46.3695581728234,46.4191789506879,46.4569755495826,46.5105662241913,46.541210005602,..,..,..
Africa Eastern and Southern,AFE,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.0947497735149795,0.0869874008372202,0.0868169131214046,0.0776640888701435,0.0816924402841098,0.0829717871233629,0.0804943587046647,0.0830384883812137,0.0828501517985378,0.0810890024899181,0.0851546537043762,0.0816952338100002,0.0841722989167428,0.0851762171763371,0.0876124978958593,0.0924885126843529,0.0898224198899046,0.0840872423941963,0.0837196519778864,..
Africa Western and Central,AFW,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.314095922149472,0.28842712051944,0.287969176312355,0.257940083576483,0.271463954815738,0.275921777619728,0.267532779040454,0.275992169847011,0.27545932068847,0.269548141922355,0.282703683432888,0.270992721977713,0.279058977927769,0.282184314996492,0.289849300884918,0.305677592279705,0.296749576839752,0.277710009944341,0.276387952513382,..
Africa Western and Central,AFW,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,630.8503,610.0439,624.7748,617.0493,653.8817,684.4787,700.0255,716.0554,740.2353,756.5263,766.9368,777.0404,806.006,838.8348,822.7538,851.1541,860.2701,869.4107,896.0976,..
Africa Western and Central,AFW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,22.3471365216362,22.0524207375012,22.6036427782507,23.7054751605669,22.1321259229871,20.5195249610199,20.3387845143841,19.6196962949451,19.1933020924046,20.1785871076173,20.5964688025564,20.3567689816218,20.5495360041941,23.46549545554,25.39817780829,25.6229936588144,25.3717465088187,24.1528889551845,22.5554093483584,..
Africa Western and Central,AFW,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,38.172429623544,38.0676132569154,38.9454618974178,36.4636482027312,43.8084714554267,46.5797118993664,44.2617531448831,44.9532003596271,47.0963564231032,45.789187933884,47.3382394597892,45.6637609179918,45.2089133769759,47.6414467210372,47.0610760520463,47.0674267190768,47.1177454829575,..,..,..
Africa Western and Central,AFW,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
